0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
21A,21A,21A,21A,21A,21A,22B,22B,22B,22B,22B,22B,23C,23C,23C,23C,23C,23C
Yielded Supply,Safety Stock Target,Safety Stock Target (WOS),EffectiveDemand,Total Projected Inventory Balance,Inventory Balance in excess of SST,Yielded Supply,Safety Stock Target,Safety Stock Target (WOS),EffectiveDemand,Total Projected Inventory Balance,Inventory Balance in excess of SST,Yielded Supply,Safety Stock Target,Safety Stock Target (WOS),EffectiveDemand,Total Projected Inventory Balance,Inventory Balance in excess of SST
0.0,0.0,0.0,0.0,201910284.79999998,0.0,0.0,0.0,0.0,0.0,164824302.72,0.0,0.0,0.0,0.0,0.0,306887266.55999994,0.0
3380628047.9689984,625070185.6409642,1.673,3920865476.2527657,-338327143.48376703,-963397329.1247311,1694268282.3394976,149119215.12965816,1.561,1541047872.0,388683699.9394977,-15868610.494963644,6610182393.901104,1044829519.5152656,1.47,4705495605.907281,2927644343.1938224,1882814823.678557
3599861958.4228745,501270722.46637267,1.673,4857090504.084001,-1595555689.1448932,-2096826411.6112657,2286054043.2818155,396739587.2068459,1.5609999999999995,2358376697.6000004,316361045.6213129,-80378541.58553304,5408396276.498146,947758578.0083735,1.47,6467992263.665929,1868048356.0260391,920289778.0176656
4838412160.017458,440409887.94035465,1.673,3895110216.4153285,-652253745.5427637,-1092663633.4831185,1846162885.6279528,213027450.18522596,1.561,2312831674.299999,-150307743.05073342,-363335193.2359594,5759631737.538146,1255316127.5691347,1.8199999999999996,5867076911.480407,1760603182.0837786,505287054.5146437
3199247967.379764,904460433.312941,1.673,3422192793.3201494,-875198571.483149,-1779659004.7960901,1214593823.7213082,228154867.33611038,1.5610000000000002,1241864059.3757567,-177577978.70518196,-405732846.0412923,7373632288.453939,1505515703.428649,1.8200000000000005,6276580637.845675,2857654832.692042,1352139129.2633927
3355092931.50488,366766838.25460577,1.673,7028084658.140007,-4548190298.118277,-4914957136.372882,1360563244.1053872,272551315.15328914,1.5609999999999995,2660101592.2595825,-147065530.72958618,-419616845.88287544,7188604865.419259,1245147107.3478353,1.8200000000000003,15055157034.286486,2518681180.968058,1273534073.6202223
2551224925.734968,121551139.1789691,1.6730000000000003,2849951522.6000447,-4846916894.983353,-4968468034.162322,1556089469.2018735,235712126.79309756,1.561,1588864169.055049,-179840230.58276173,-415552357.37585926,5486841555.132085,950490474.8088771,1.8199999999999998,6225735536.739175,1779787199.3609684,829296724.5520908
1042103765.7402065,191197422.02502874,1.673,944509748.5514634,-4749322877.794609,-4940520299.819638,1451657400.0206215,228618627.10814822,1.5609999999999995,1479807074.0373838,-207989904.59952396,-436608531.70767224,3896889854.302082,557841858.418099,1.8200000000000003,5118025633.586262,558651420.076789,809561.6586900711
